region,q_hat,coverage,coverage_gap,average_width
CISO,500.8815146129564,0.6052631578947368,0.2947368421052632,3012.1132909330113
ERCO,2254.665678665144,0.7252066115702479,0.17479338842975212,7520.543225634281
PJM,3497.1417153924704,0.7747933884297521,0.12520661157024793,10138.016012181255
